Country,PSMA_party
Albania,1
Angola,1
Australia,1
Bahamas,1
Bangladesh,1
Barbados,1
Benin,1
Cabo Verde,1
Cambodia,1
Canada,1
Chile,1
Comoros,1
Costa Rica,1
Cuba,1
Côte d'Ivoire,1
Denmark (in respect of Greenland and the Faroe Islands - Associate Member),1
Djibouti,1
Dominica,1
Ecuador,1
Eritrea,1
European Union – Member Organization,1
Fiji,1
France (in respect of overseas territories),1
Gabon,1
Gambia,1
Ghana,1
Grenada,1
Guinea,1
Guyana,1
Iceland,1
Indonesia,1
Japan,1
Kenya,1
Liberia,1
Libya,1
Madagascar,1
Maldives,1
Marshall Islands,1
Mauritania,1
Mauritius,1
Mexico,1
Montenegro,1
Morocco,1
Mozambique,1
Myanmar,1
Namibia,1
New Zealand,1
Nicaragua,1
Nigeria,1
Norway,1
Oman,1
Palau,1
Panama,1
Papua New Guinea,1
Peru,1
Philippines,1
Republic of Korea,1
Russian Federation,1
Saint Kitts and Nevis,1
Saint Vincent and the Grenadines,1
Sao Tome and Principe,1
Senegal,1
Seychelles,1
Sierra Leone,1
Somalia,1
South Africa,1
Sri Lanka,1
Sudan,1
Thailand,1
Timor-Leste,1
Togo,1
Tonga,1
Trinidad and Tobago,1
Türkiye,1
United Kingdom,1
United States of America,1
Uruguay,1
Vanuatu,1
Viet Nam,1
