"Year","degree_in","degree_out","betweenness","closeness","density","avg_path_length","modularity"
2007,22.3333333333333,22.3333333333333,6.5,1.91071577270021e-05,4.46666666666667,18981.382473011,0.227437294233053
2008,24.6666666666667,24.6666666666667,4.5,2.91599955728127e-05,4.93333333333333,29258.5561274625,0.235454032767618
2009,26.6666666666667,26.6666666666667,3.5,8.75478171581721e-06,5.33333333333333,101470.850716742,0.224092084403553
2010,26.6666666666667,26.6666666666667,5.33333333333333,6.40363308229854e-06,5.33333333333333,62028.4339963899,0.226061001761188
2011,26.6666666666667,26.6666666666667,4.83333333333333,3.09479360875165e-06,5.33333333333333,117585.355260052,0.0781354994747688
2012,25.6666666666667,25.6666666666667,3.16666666666667,1.19968821969418e-05,5.13333333333333,78383.9195638833,0.186200598482179
2013,25.6666666666667,25.6666666666667,3.83333333333333,8.3749482647774e-06,5.13333333333333,59051.4952141771,0.223296075741048
2014,26.3333333333333,26.3333333333333,5.33333333333333,1.13357125835327e-05,5.26666666666667,60051.6142588452,0.229553943108514
2015,25.3333333333333,25.3333333333333,4.83333333333333,4.62353015986876e-05,5.06666666666667,25129.8470316141,0.185566714545657
2016,24.3333333333333,24.3333333333333,4.16666666666667,2.18456443613176e-05,4.86666666666667,45647.649450301,0.146319151864096
2017,25.3333333333333,25.3333333333333,5,2.74559922179982e-06,5.06666666666667,131843.310423212,0.099294691436203
2018,26.6666666666667,26.6666666666667,4.5,1.61240939498957e-05,5.33333333333333,72729.1582232183,0.100263136256501
2019,23.3333333333333,23.3333333333333,3.83333333333333,7.70709407114505e-05,4.66666666666667,65236.465689594,0.0813991614327577
2020,22.3333333333333,22.3333333333333,5.66666666666667,4.36471836095114e-05,4.46666666666667,11773.7492535821,0.0829378420546852
